age,sex,s,n
0,female,0,1
0,male,0,1
1,female,0,1
1,male,0,1
2,female,0,1
2,male,0,1
3,female,0,1
3,male,0,1
4,female,0,1
4,male,0,1
5,female,0,1
5,male,0,1
6,female,0,1
6,male,0,1
7,female,0,1
7,male,0,1
8,female,0,1
8,male,0,1
9,female,0,1
9,male,0,1
10,female,0,1
10,male,0,1
11,female,0,1
11,male,0,1
12,female,0,1
12,male,0,1
13,female,0,1
13,male,0,1
14,female,0,1
14,male,0,1
15,female,0,1
15,male,0,1
16,female,0,1
16,male,0,1
17,female,0,1
17,male,0,1
18,female,0,1
18,male,0,1
19,female,0,1
19,male,0,1
20,female,0,1
20,male,0,1
21,female,0,1
21,male,0,1
22,female,0,1
22,male,0,1
23,female,0,1
23,male,0,1
24,female,0,1
24,male,0,1
25,female,0,1
25,male,0,1
26,female,0,1
26,male,0,1
27,female,0,1
27,male,0,1
28,female,0,1
28,male,0,1
29,female,0,1
29,male,0,1
30,female,0,1
30,male,0,1
31,female,0,1
31,male,0,1
32,female,0,1
32,male,0,1
33,female,0,1
33,male,0,1
34,female,0,1
34,male,0,1
35,female,0,1
35,male,0,1
36,female,0,1
36,male,0,1
37,female,0,1
37,male,0,1
38,female,0,1
38,male,0,1
39,female,0,1
39,male,0,1
40,female,0,1
40,male,0,1
41,female,0,1
41,male,0,1
42,female,0,1
42,male,0,1
43,female,0,1
43,male,0,1
44,female,0,1
44,male,0,1
45,female,0,1
45,male,0,1
46,female,0,1
46,male,0,1
47,female,0,1
47,male,0,1
48,female,0,1
48,male,0,1
49,female,0,1
49,male,0,1
50,female,0,1
50,male,0,1
51,female,0,1
51,male,0,1
52,female,0,1
52,male,0,1
53,female,0,1
53,male,0,1
54,female,0,1
54,male,0,1
55,female,0,1
55,male,0,1
56,female,0,1
56,male,0,1
57,female,0,1
57,male,0,1
58,female,0,1
58,male,0,1
59,female,0,1
59,male,0,1
60,female,0,1
60,male,0,1
61,female,0,1
61,male,0,1
62,female,0,1
62,male,0,1
63,female,0,1
63,male,0,1
64,female,0,1
64,male,0,1
65,female,0,1
65,male,0,1
66,female,0,1
66,male,0,1
67,female,0,1
67,male,0,1
68,female,0,1
68,male,0,1
69,female,0,1
69,male,0,1
70,female,0,1
70,male,0,1
71,female,0,1
71,male,0,1
72,female,0,1
72,male,0,1
73,female,0,1
73,male,0,1
74,female,0,1
74,male,0,1
75,female,0,1
75,male,0,1
76,female,0,1
76,male,0,1
77,female,0,1
77,male,0,1
78,female,0,1
78,male,0,1
79,female,0,1
79,male,0,1
80,female,0,1
80,male,0,1
81,female,0,1
81,male,0,1
82,female,0,1
82,male,0,1
83,female,0,1
83,male,0,1
84,female,0,1
84,male,0,1
85,female,0,1
85,male,0,1
86,female,0,1
86,male,0,1
87,female,0,1
87,male,0,1
88,female,0,1
88,male,0,1
89,female,0,1
89,male,0,1
90,female,0,1
90,male,0,1
91,female,0,1
91,male,0,1
92,female,0,1
92,male,0,1
93,female,0,1
93,male,0,1
94,female,0,1
94,male,0,1
95,female,0,1
95,male,0,1
96,female,0,1
96,male,0,1
97,female,0,1
97,male,0,1
98,female,0,1
98,male,0,1
99,female,0,1
99,male,0,1
100,female,0,1
100,male,0,1
101,female,0,1
101,male,0,1
102,female,0,1
102,male,0,1
103,female,0,1
103,male,0,1
104,female,0,1
104,male,0,1
105,female,0,1
105,male,0,1
106,female,0,1
106,male,0,1
107,female,0,1
107,male,0,1
108,female,0,1
108,male,0,1
109,female,0,1
109,male,0,1
