age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.100183323
21,male,0.100183323
22,male,0.100183323
23,male,0.100183323
24,male,0.100183323
25,male,0.100183323
26,male,0.100183323
27,male,0.100183323
28,male,0.100183323
29,male,0.100183323
30,male,0.100183323
31,male,0.100183323
32,male,0.100183323
33,male,0.100183323
34,male,0.100183323
35,male,0.100183323
36,male,0.100183323
37,male,0.100183323
38,male,0.100183323
39,male,0.100183323
40,male,0.100183323
41,male,0.100183323
42,male,0.100183323
43,male,0.100183323
44,male,0.100183323
45,male,0.100183323
46,male,0.100183323
47,male,0.100183323
48,male,0.100183323
49,male,0.100183323
50,male,0.100183323
51,male,0.100183323
52,male,0.100183323
53,male,0.100183323
54,male,0.100183323
55,male,0.100183323
56,male,0.100183323
57,male,0.100183323
58,male,0.100183323
59,male,0.100183323
60,male,0.100183323
61,male,0.100183323
62,male,0.100183323
63,male,0.100183323
64,male,0.100183323
65,male,0.100183323
66,male,0.100183323
67,male,0.100183323
68,male,0.100183323
69,male,0.100183323
70,male,0.100183323
71,male,0.100183323
72,male,0.100183323
73,male,0.100183323
74,male,0.100183323
75,male,0.100183323
76,male,0.100183323
77,male,0.100183323
78,male,0.100183323
79,male,0.100183323
80,male,0.100183323
81,male,0.100183323
82,male,0.100183323
83,male,0.100183323
84,male,0.100183323
85,male,0.100183323
86,male,0.100183323
87,male,0.100183323
88,male,0.100183323
89,male,0.100183323
90,male,0.100183323
91,male,0.100183323
92,male,0.100183323
93,male,0.100183323
94,male,0.100183323
95,male,0.100183323
96,male,0.100183323
97,male,0.100183323
98,male,0.100183323
99,male,0.100183323
100,male,0.100183323
101,male,0.100183323
102,male,0.100183323
103,male,0.100183323
104,male,0.100183323
105,male,0.100183323
106,male,0.100183323
107,male,0.100183323
108,male,0.100183323
109,male,0.100183323
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.100183323
21,female,0.100183323
22,female,0.100183323
23,female,0.100183323
24,female,0.100183323
25,female,0.100183323
26,female,0.100183323
27,female,0.100183323
28,female,0.100183323
29,female,0.100183323
30,female,0.100183323
31,female,0.100183323
32,female,0.100183323
33,female,0.100183323
34,female,0.100183323
35,female,0.100183323
36,female,0.100183323
37,female,0.100183323
38,female,0.100183323
39,female,0.100183323
40,female,0.100183323
41,female,0.100183323
42,female,0.100183323
43,female,0.100183323
44,female,0.100183323
45,female,0.100183323
46,female,0.100183323
47,female,0.100183323
48,female,0.100183323
49,female,0.100183323
50,female,0.100183323
51,female,0.100183323
52,female,0.100183323
53,female,0.100183323
54,female,0.100183323
55,female,0.100183323
56,female,0.100183323
57,female,0.100183323
58,female,0.100183323
59,female,0.100183323
60,female,0.100183323
61,female,0.100183323
62,female,0.100183323
63,female,0.100183323
64,female,0.100183323
65,female,0.100183323
66,female,0.100183323
67,female,0.100183323
68,female,0.100183323
69,female,0.100183323
70,female,0.100183323
71,female,0.100183323
72,female,0.100183323
73,female,0.100183323
74,female,0.100183323
75,female,0.100183323
76,female,0.100183323
77,female,0.100183323
78,female,0.100183323
79,female,0.100183323
80,female,0.100183323
81,female,0.100183323
82,female,0.100183323
83,female,0.100183323
84,female,0.100183323
85,female,0.100183323
86,female,0.100183323
87,female,0.100183323
88,female,0.100183323
89,female,0.100183323
90,female,0.100183323
91,female,0.100183323
92,female,0.100183323
93,female,0.100183323
94,female,0.100183323
95,female,0.100183323
96,female,0.100183323
97,female,0.100183323
98,female,0.100183323
99,female,0.100183323
100,female,0.100183323
101,female,0.100183323
102,female,0.100183323
103,female,0.100183323
104,female,0.100183323
105,female,0.100183323
106,female,0.100183323
107,female,0.100183323
108,female,0.100183323
109,female,0.100183323
