age,sex,s
0,male,1
1,male,1
2,male,1
3,male,1
4,male,1
5,male,1
6,male,1
7,male,1
8,male,1
9,male,1
10,male,1
11,male,1
12,male,1
13,male,1
14,male,1
15,male,1
16,male,1
17,male,1
18,male,1
19,male,1
20,male,0.187205429
21,male,0.187205429
22,male,0.187205429
23,male,0.187205429
24,male,0.187205429
25,male,0.187205429
26,male,0.187205429
27,male,0.187205429
28,male,0.187205429
29,male,0.187205429
30,male,0.187205429
31,male,0.187205429
32,male,0.187205429
33,male,0.187205429
34,male,0.187205429
35,male,0.187205429
36,male,0.187205429
37,male,0.187205429
38,male,0.187205429
39,male,0.187205429
40,male,0.187205429
41,male,0.187205429
42,male,0.187205429
43,male,0.187205429
44,male,0.187205429
45,male,0.187205429
46,male,0.187205429
47,male,0.187205429
48,male,0.187205429
49,male,0.187205429
50,male,0.187205429
51,male,0.187205429
52,male,0.187205429
53,male,0.187205429
54,male,0.187205429
55,male,0.187205429
56,male,0.187205429
57,male,0.187205429
58,male,0.187205429
59,male,0.187205429
60,male,0.187205429
61,male,0.187205429
62,male,0.187205429
63,male,0.187205429
64,male,0.187205429
65,male,0.187205429
66,male,0.187205429
67,male,0.187205429
68,male,0.187205429
69,male,0.187205429
70,male,0.187205429
71,male,0.187205429
72,male,0.187205429
73,male,0.187205429
74,male,0.187205429
75,male,0.187205429
76,male,0.187205429
77,male,0.187205429
78,male,0.187205429
79,male,0.187205429
80,male,0.187205429
81,male,0.187205429
82,male,0.187205429
83,male,0.187205429
84,male,0.187205429
85,male,0.187205429
86,male,0.187205429
87,male,0.187205429
88,male,0.187205429
89,male,0.187205429
90,male,0.187205429
91,male,0.187205429
92,male,0.187205429
93,male,0.187205429
94,male,0.187205429
95,male,0.187205429
96,male,0.187205429
97,male,0.187205429
98,male,0.187205429
99,male,0.187205429
100,male,0.187205429
101,male,0.187205429
102,male,0.187205429
103,male,0.187205429
104,male,0.187205429
105,male,0.187205429
106,male,0.187205429
107,male,0.187205429
108,male,0.187205429
109,male,0.187205429
0,female,1
1,female,1
2,female,1
3,female,1
4,female,1
5,female,1
6,female,1
7,female,1
8,female,1
9,female,1
10,female,1
11,female,1
12,female,1
13,female,1
14,female,1
15,female,1
16,female,1
17,female,1
18,female,1
19,female,1
20,female,0.163171101
21,female,0.163171101
22,female,0.163171101
23,female,0.163171101
24,female,0.163171101
25,female,0.163171101
26,female,0.163171101
27,female,0.163171101
28,female,0.163171101
29,female,0.163171101
30,female,0.163171101
31,female,0.163171101
32,female,0.163171101
33,female,0.163171101
34,female,0.163171101
35,female,0.163171101
36,female,0.163171101
37,female,0.163171101
38,female,0.163171101
39,female,0.163171101
40,female,0.163171101
41,female,0.163171101
42,female,0.163171101
43,female,0.163171101
44,female,0.163171101
45,female,0.163171101
46,female,0.163171101
47,female,0.163171101
48,female,0.163171101
49,female,0.163171101
50,female,0.163171101
51,female,0.163171101
52,female,0.163171101
53,female,0.163171101
54,female,0.163171101
55,female,0.163171101
56,female,0.163171101
57,female,0.163171101
58,female,0.163171101
59,female,0.163171101
60,female,0.163171101
61,female,0.163171101
62,female,0.163171101
63,female,0.163171101
64,female,0.163171101
65,female,0.163171101
66,female,0.163171101
67,female,0.163171101
68,female,0.163171101
69,female,0.163171101
70,female,0.163171101
71,female,0.163171101
72,female,0.163171101
73,female,0.163171101
74,female,0.163171101
75,female,0.163171101
76,female,0.163171101
77,female,0.163171101
78,female,0.163171101
79,female,0.163171101
80,female,0.163171101
81,female,0.163171101
82,female,0.163171101
83,female,0.163171101
84,female,0.163171101
85,female,0.163171101
86,female,0.163171101
87,female,0.163171101
88,female,0.163171101
89,female,0.163171101
90,female,0.163171101
91,female,0.163171101
92,female,0.163171101
93,female,0.163171101
94,female,0.163171101
95,female,0.163171101
96,female,0.163171101
97,female,0.163171101
98,female,0.163171101
99,female,0.163171101
100,female,0.163171101
101,female,0.163171101
102,female,0.163171101
103,female,0.163171101
104,female,0.163171101
105,female,0.163171101
106,female,0.163171101
107,female,0.163171101
108,female,0.163171101
109,female,0.163171101
