age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.0,0.0,0.0
5,male,0.0,0.0,0.0
6,female,0.0,0.0,0.0
6,male,0.0,0.0,0.0
7,female,0.0,0.0,0.0
7,male,0.0,0.0,0.0
8,female,0.0,0.0,0.0
8,male,0.0,0.0,0.0
9,female,0.0,0.0,0.0
9,male,0.0,0.0,0.0
10,female,0.0,0.0,0.0
10,male,0.0,0.0,0.0
11,female,0.0,0.0,0.0
11,male,0.0,0.0,0.0
12,female,0.0,0.0,0.0
12,male,0.0,0.0,0.0
13,female,0.0,0.0,0.0
13,male,0.0,0.0,0.0
14,female,0.0,0.0,0.0
14,male,0.0,0.0,0.0
15,female,0.0,0.0,0.0
15,male,0.0,0.0,0.0
16,female,0.0,0.0,0.0
16,male,0.0,0.0,0.0
17,female,0.0,0.0,0.0
17,male,0.0,0.0,0.0
18,female,0.0,0.0,0.0
18,male,0.0,0.0,0.0
19,female,0.0,0.0,0.0
19,male,0.0,0.0,0.0
20,female,0.17508174634268409,0.3603278807049751,0.22026232844919394
20,male,0.20888067106358651,0.3744061616191376,0.2748319246598599
21,female,0.17508174634268409,0.2699913620967749,0.22026232844919394
21,male,0.20888067106358651,0.2803049833336109,0.2748319246598599
22,female,0.17508174634268409,0.2157896428851484,0.22026232844919394
22,male,0.20888067106358651,0.22384498777572145,0.2748319246598599
23,female,0.17508174634268409,0.19820261988284726,0.22026232844919394
23,male,0.20888067106358651,0.19143963115645735,0.2748319246598599
24,female,0.17508174634268409,0.18324037709066118,0.22026232844919394
24,male,0.20888067106358651,0.16715526127687041,0.2748319246598599
25,female,0.2544136537662326,0.33227528173239174,0.322805670073375
25,male,0.2097912275190417,0.2711679364154812,0.2935830829404187
26,female,0.2544136537662326,0.31040854240293086,0.322805670073375
26,male,0.2097912275190417,0.24356582999846887,0.2935830829404187
27,female,0.2544136537662326,0.2912084796143019,0.322805670073375
27,male,0.2097912275190417,0.22099159857670425,0.2935830829404187
28,female,0.2544136537662326,0.1972383190887424,0.322805670073375
