age,sex,i,prev,f
0,female,0.0,0.0,0.0
0,male,0.0,0.0,0.0
1,female,0.0,0.0,0.0
1,male,0.0,0.0,0.0
2,female,0.0,0.0,0.0
2,male,0.0,0.0,0.0
3,female,0.0,0.0,0.0
3,male,0.0,0.0,0.0
4,female,0.0,0.0,0.0
4,male,0.0,0.0,0.0
5,female,0.1377640886166701,0.22768337070035902,0.1499347822452553
5,male,0.18378288130265252,0.31493494102802067,0.22485882112520153
6,female,0.1377640886166701,0.1700508977046283,0.1499347822452553
6,male,0.18378288130265252,0.23522301166935977,0.22485882112520153
7,female,0.1377640886166701,0.13547379265707954,0.1499347822452553
7,male,0.18378288130265252,0.18739909738480406,0.22485882112520153
8,female,0.1377640886166701,0.13966145704512345,0.1499347822452553
8,male,0.18378288130265252,0.18569282657563668,0.22485882112520153
9,female,0.1377640886166701,0.1441575046392716,0.1499347822452553
9,male,0.18378288130265252,0.184006683611058,0.22485882112520153
10,female,0.15179497146110804,0.14118624511037403,0.16037538520638203
10,male,0.19903564046515554,0.2060845996477152,0.25777258064914055
11,female,0.15179497146110804,0.14659077781368485,0.16037538520638203
11,male,0.19903564046515554,0.2046499176492069,0.25777258064914055
12,female,0.15179497146110804,0.15243868284651435,0.16037538520638203
12,male,0.19903564046515554,0.20323012622247216,0.25777258064914055
13,female,0.15179497146110804,0.13997481351011481,0.16037538520638203
13,male,0.19903564046515554,0.145090137969991,0.25777258064914055
14,female,0.15179497146110804,0.1293743170854624,0.16037538520638203
14,male,0.19903564046515554,0.11271254913653377,0.25777258064914055
15,female,0.1569717821039896,0.173849734435771,0.19910231718544466
15,male,0.30146779452525435,0.38315388815212553,0.4087108175746835
16,female,0.1569717821039896,0.16237195078218525,0.19910231718544466
16,male,0.30146779452525435,0.32366218408991243,0.4087108175746835
17,female,0.1569717821039896,0.15229588148496925,0.19910231718544466
17,male,0.30146779452525435,0.28000733543901773,0.4087108175746835
18,female,0.1569717821039896,0.10635178404390679,0.19910231718544466
18,male,0.30146779452525435,0.17958331628179536,0.4087108175746835
19,female,0.1569717821039896,0.08166334819810342,0.19910231718544466
19,male,0.30146779452525435,0.13203429528861405,0.4087108175746835
20,female,0.35564713632530476,0.48720520463771866,0.4544078100300464
20,male,0.3168577232732634,0.4217561029021845,0.4213161305130194
21,female,0.35564713632530476,0.4095889802330988,0.4544078100300464
