age,sex,i,prev,f
0,female,0.26595580846495215,0.0,0.29650564536670043
0,male,0.31151326235691124,0.0,0.32632978453344574
1,female,0.2486205880695795,0.7595616886513065,0.8235457854974082
1,male,0.2845942267174975,0.0,0.23248384968431077
2,female,0.2486205880695795,0.7120890831105999,0.8235457854974082
2,male,0.2845942267174975,0.0,0.23248384968431077
3,female,0.2486205880695795,0.26519354812932777,0.8235457854974082
3,male,0.2845942267174975,0.0,0.23248384968431077
4,female,0.2486205880695795,0.1728231080125781,0.8235457854974082
4,male,0.2845942267174975,0.0,0.23248384968431077
5,female,0.24343304398620916,0.41433027245553117,0.3605843510254841
5,male,0.2895732112075346,0.668579559301912,0.5050413803123341
6,female,0.24343304398620916,0.32926927865767985,0.3605843510254841
6,male,0.2895732112075346,0.4993712196504615,0.5050413803123341
7,female,0.24343304398620916,0.2731850537975816,0.3605843510254841
7,male,0.2895732112075346,0.39785325117541825,0.5050413803123341
8,female,0.24343304398620916,0.2296288095675201,0.3605843510254841
8,male,0.2895732112075346,0.35293483011901167,0.5050413803123341
9,female,0.24343304398620916,0.20003012140977167,0.3605843510254841
9,male,0.2895732112075346,0.3168718869680013,0.5050413803123341
10,female,0.2616285273968554,0.2702291727863067,0.29348565752241657
10,male,0.2981545310637942,0.386329995400711,0.4023573920545602
11,female,0.2616285273968554,0.23915705453200536,0.29348565752241657
11,male,0.2981545310637942,0.3548817139227641,0.4023573920545602
12,female,0.2616285273968554,0.21438661092947323,0.29348565752241657
12,male,0.2981545310637942,0.3282155473875322,0.4023573920545602
13,female,0.2616285273968554,0.19712312460235562,0.29348565752241657
13,male,0.2981545310637942,0.27764183035154694,0.4023573920545602
14,female,0.2616285273968554,0.18236715293372316,0.29348565752241657
14,male,0.2981545310637942,0.24063429021571828,0.4023573920545602
15,female,0.2637979677369011,0.21008408807735424,0.2647378498078552
15,male,0.28823208739875994,0.3215565080488904,0.34428681559035734
16,female,0.2637979677369011,0.19628665395210998,0.2647378498078552
16,male,0.28823208739875994,0.287826047552927,0.34428681559035734
17,female,0.2637979677369011,0.1841352854958859,0.2647378498078552
17,male,0.28823208739875994,0.2605478020228576,0.34428681559035734
18,female,0.2637979677369011,0.1682143854404427,0.2647378498078552
18,male,0.28823208739875994,0.23733348527595988,0.34428681559035734
19,female,0.2637979677369011,0.15476808127672229,0.2647378498078552
19,male,0.28823208739875994,0.21795179214539706,0.34428681559035734
20,female,0.2359345616349218,0.17222888738583017,0.2372987215465229
20,male,0.2526237805380563,0.23857432821700886,0.29283049494850505
21,female,0.2359345616349218,0.16089245155616505,0.2372987215465229
21,male,0.2526237805380563,0.22209341850492795,0.29283049494850505
22,female,0.2359345616349218,0.1509848545229052,0.2372987215465229
22,male,0.2526237805380563,0.2077939728790908,0.29283049494850505
23,female,0.2359345616349218,0.14449093761409385,0.2372987215465229
23,male,0.2526237805380563,0.19697807393820813,0.29283049494850505
24,female,0.2359345616349218,0.13855023899609661,0.2372987215465229
24,male,0.2526237805380563,0.1872681461025529,0.29283049494850505
25,female,0.2273868005038799,0.15011215073102227,0.21454889897395812
25,male,0.24164336282704302,0.20825795512466985,0.2735724532597547
26,female,0.2273868005038799,0.14444246962317103,0.21454889897395812
26,male,0.24164336282704302,0.19898043844288524,0.2735724532597547
27,female,0.2273868005038799,0.13920113962950328,0.21454889897395812
27,male,0.24164336282704302,0.19052563717844703,0.2735724532597547
28,female,0.2273868005038799,0.1307823188350286,0.21454889897395812
28,male,0.24164336282704302,0.17417188855725502,0.2735724532597547
29,female,0.2273868005038799,0.12334531645224234,0.21454889897395812
29,male,0.24164336282704302,0.16045214114894357,0.2735724532597547
30,female,0.18427626908774256,0.14034941562564368,0.19509215378237466
30,male,0.1958180043076071,0.19099138381740333,0.2452307772110001
31,female,0.18427626908774256,0.13321336113334328,0.19509215378237466
31,male,0.1958180043076071,0.1778706036275157,0.2452307772110001
32,female,0.18427626908774256,0.1267856894904171,0.19509215378237466
32,male,0.1958180043076071,0.16645169248441044,0.2452307772110001
33,female,0.18427626908774256,0.12093306495231401,0.19509215378237466
33,male,0.1958180043076071,0.1524326514803964,0.2452307772110001
34,female,0.18427626908774256,0.11561176263789513,0.19509215378237466
34,male,0.1958180043076071,0.14060691397730568,0.2452307772110001
35,female,0.165757088688128,0.12961562926395848,0.1798521668322299
35,male,0.17830840963849257,0.16354903401592846,0.22555511966457106
36,female,0.165757088688128,0.12440220239707354,0.1798521668322299
36,male,0.17830840963849257,0.15259278478856528,0.22555511966457106
37,female,0.165757088688128,0.11960540048346077,0.1798521668322299
37,male,0.17830840963849257,0.1430248643870867,0.22555511966457106
38,female,0.165757088688128,0.11300777245449685,0.1798521668322299
38,male,0.17830840963849257,0.13280055215295966,0.22555511966457106
39,female,0.165757088688128,0.1071161742861604,0.1798521668322299
39,male,0.17830840963849257,0.12395205901981264,0.22555511966457106
40,female,0.1261606743478217,0.12278650329953654,0.17544671620047975
40,male,0.11696378423138695,0.13976954513288664,0.1980784977344125
41,female,0.1261606743478217,0.11696614812561575,0.17544671620047975
41,male,0.11696378423138695,0.13156251053236553,0.1980784977344125
42,female,0.1261606743478217,0.11168241593972641,0.17544671620047975
42,male,0.11696378423138695,0.12427435443732061,0.1980784977344125
43,female,0.1261606743478217,0.10611631072416501,0.17544671620047975
43,male,0.11696378423138695,0.11488706333004321,0.1980784977344125
44,female,0.1261606743478217,0.10108795942127335,0.17544671620047975
44,male,0.11696378423138695,0.1068276034682112,0.1980784977344125
45,female,0.12877458884242945,0.11132004241604197,0.16651052802329236
45,male,0.12706980978258073,0.13049344792059608,0.18063730562840974
46,female,0.12877458884242945,0.10651911055210543,0.16651052802329236
46,male,0.12706980978258073,0.12248345579445286,0.18063730562840974
47,female,0.12877458884242945,0.10212328151579379,0.16651052802329236
47,male,0.12706980978258073,0.11540813302395922,0.18063730562840974
48,female,0.12877458884242945,0.0970261241016483,0.16651052802329236
48,male,0.12706980978258073,0.10807603467152237,0.18063730562840974
49,female,0.12877458884242945,0.09242201273135334,0.16651052802329236
49,male,0.12706980978258073,0.10162735157141944,0.18063730562840974
50,female,0.09776458692123764,0.10966858344185539,0.15650951584687714
50,male,0.09536880261567798,0.12496517176168882,0.15878852546226666
51,female,0.09776458692123764,0.10494367548677702,0.15650951584687714
51,male,0.09536880261567798,0.11843763996159248,0.15878852546226666
52,female,0.09776458692123764,0.10061790791418845,0.15650951584687714
52,male,0.09536880261567798,0.1125763496462374,0.15878852546226666
53,female,0.09776458692123764,0.09636534288744623,0.15650951584687714
53,male,0.09536880261567798,0.10633897263525444,0.15878852546226666
54,female,0.09776458692123764,0.09246559715786366,0.15650951584687714
54,male,0.09536880261567798,0.10077361444253383,0.15878852546226666
55,female,0.1202518316572909,0.10604680211953842,0.16022257318564148
55,male,0.12186144973771916,0.11290803704632414,0.1524453611615152
56,female,0.1202518316572909,0.10209238138311813,0.16022257318564148
56,male,0.12186144973771916,0.10759085162940336,0.1524453611615152
57,female,0.1202518316572909,0.09842970309891623,0.16022257318564148
57,male,0.12186144973771916,0.10276682671994736,0.1524453611615152
58,female,0.1202518316572909,0.09445056067500117,0.16022257318564148
58,male,0.12186144973771916,0.09671959442357238,0.1524453611615152
59,female,0.1202518316572909,0.0907880102808621,0.16022257318564148
59,male,0.12186144973771916,0.0913607583064488,0.1524453611615152
60,female,0.09633133127200309,0.10377294810158763,0.1620767267137986
60,male,0.09729235718628176,0.12281344857794826,0.16194393939694382
61,female,0.09633133127200309,0.10007572893795774,0.1620767267137986
61,male,0.09729235718628176,0.11662069890874438,0.16194393939694382
62,female,0.09633133127200309,0.09664121982192395,0.1620767267137986
62,male,0.09729235718628176,0.1110298691196174,0.16194393939694382
63,female,0.09633133127200309,0.09195674552252803,0.1620767267137986
63,male,0.09729235718628176,0.10379298611063828,0.16194393939694382
64,female,0.09633133127200309,0.08771552231700484,0.1620767267137986
64,male,0.09729235718628176,0.09744997006673803,0.16194393939694382
65,female,0.1302926403639921,0.10283989579148213,0.15299882131336964
65,male,0.1352740191507288,0.12443620672061168,0.15580954038118802
66,female,0.1302926403639921,0.09851737984325265,0.15299882131336964
66,male,0.1352740191507288,0.11767674051471981,0.15580954038118802
67,female,0.1302926403639921,0.09455290348436816,0.15299882131336964
67,male,0.1352740191507288,0.1116214736998753,0.15580954038118802
68,female,0.1302926403639921,0.08924968951298792,0.15299882131336964
68,male,0.1352740191507288,0.10449868051423979,0.15580954038118802
69,female,0.1302926403639921,0.08452069523593594,0.15299882131336964
69,male,0.1352740191507288,0.09823817060501847,0.15580954038118802
70,female,0.1038642035481176,0.12258870924481526,0.13987905197341852
70,male,0.11063094969948005,0.1329974622002733,0.1625234438627261
71,female,0.1038642035481176,0.11655586440894143,0.13987905197341852
71,male,0.11063094969948005,0.12576660632055442,0.1625234438627261
72,female,0.1038642035481176,0.11108497725656172,0.13987905197341852
72,male,0.11063094969948005,0.11927671325466506,0.1625234438627261
73,female,0.1038642035481176,0.10414681514015352,0.13987905197341852
73,male,0.11063094969948005,0.11241440193849744,0.1625234438627261
74,female,0.1038642035481176,0.09801998717593775,0.13987905197341852
74,male,0.11063094969948005,0.1062942466016711,0.1625234438627261
75,female,0.13234853205506852,0.12303552467045252,0.15348079606010795
75,male,0.1296453053772883,0.1292299479267472,0.1639913434185282
76,female,0.13234853205506852,0.11655018734613487,0.15348079606010795
76,male,0.1296453053772883,0.1228759244976044,0.1639913434185282
77,female,0.13234853205506852,0.11070993951742567,0.15348079606010795
77,male,0.1296453053772883,0.11711309961378415,0.1639913434185282
78,female,0.13234853205506852,0.10517919457680383,0.15348079606010795
78,male,0.1296453053772883,0.11262307015212855,0.1639913434185282
79,female,0.13234853205506852,0.10017092013511512,0.15348079606010795
79,male,0.1296453053772883,0.1084613772251571,0.1639913434185282
80,female,0.09981384436108634,0.13719504627341514,0.1703413349439947
80,male,0.10731389988627098,0.1446837991829197,0.17761405347189738
81,female,0.09981384436108634,0.1310425960265216,0.1703413349439947
81,male,0.10731389988627098,0.1394663041105605,0.17761405347189738
82,female,0.09981384436108634,0.12540035069211172,0.1703413349439947
82,male,0.10731389988627098,0.13459356860360355,0.17761405347189738
83,female,0.09981384436108634,0.12253525692798686,0.1703413349439947
83,male,0.10731389988627098,0.1343477596763665,0.17761405347189738
84,female,0.09981384436108634,0.11978977590215291,0.1703413349439947
84,male,0.10731389988627098,0.1341026407869098,0.17761405347189738
85,female,0.09747874527852489,0.12855090211000422,0.163133787721637
85,male,0.09341860534928792,0.14101633841587113,0.18466910952820365
86,female,0.09747874527852489,0.12577764748636888,0.163133787721637
86,male,0.09341860534928792,0.14075957093970481,0.18466910952820365
87,female,0.09747874527852489,0.1231135961128489,0.163133787721637
87,male,0.09341860534928792,0.14050353583813638,0.18466910952820365
88,female,0.09747874527852489,0.12287273642711022,0.163133787721637
88,male,0.09341860534928792,0.1430734259599807,0.18466910952820365
89,female,0.09747874527852489,0.12263310807307189,0.163133787721637
89,male,0.09341860534928792,0.14575104051198987,0.18466910952820365
90,female,0.12627482490010755,0.14030778653671216,0.18652310862237825
90,male,0.11996646285008902,0.148172167989083,0.2010537538168394
91,female,0.12627482490010755,0.14015489885706012,0.18652310862237825
91,male,0.11996646285008902,0.15123874241442162,0.2010537538168394
92,female,0.12627482490010755,0.14000221791209083,0.18652310862237825
92,male,0.11996646285008902,0.15444123371630755,0.2010537538168394
93,female,0.12627482490010755,0.14083297202384315,0.18652310862237825
93,male,0.11996646285008902,0.15717561506956362,0.2010537538168394
94,female,0.12627482490010755,0.14167520363291913,0.18652310862237825
94,male,0.11996646285008902,0.16001415090593457,0.2010537538168394
95,female,0.1470453535855507,0.15467678565855814,0.21082043601798323
95,male,0.14649123220577984,0.17036819875543519,0.22146522502488447
96,female,0.1470453535855507,0.1556164889107514,0.21082043601798323
96,male,0.14649123220577984,0.1735730498773526,0.22146522502488447
97,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
97,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
98,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
98,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
99,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
99,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
100,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
100,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
101,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
101,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
102,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
102,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
103,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
103,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
104,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
104,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
105,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
105,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
106,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
106,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
107,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
107,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
108,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
108,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
109,female,0.1470453535855507,0.15656943988932287,0.21082043601798323
109,male,0.14649123220577984,0.17690739842033593,0.22146522502488447
